,Phase,Ascii file,Tel
0,-0.44799999999668216,100223.SN1998es.ascii,Lick-3m / KAST
1,-8.5,101710.SN1998es.ascii,FLWO-1.5m / FAST
2,-7.419999999998254,101711.SN1998es.ascii,FLWO-1.5m / FAST
3,-6.419999999998254,101712.SN1998es.ascii,FLWO-1.5m / FAST
4,-5.4399999999950515,101713.SN1998es.ascii,FLWO-1.5m / FAST
5,-3.4399999999950523,101715.SN1998es.ascii,FLWO-1.5m / FAST
6,-2.3999999999941792,101716.SN1998es.ascii,FLWO-1.5m / FAST
7,-0.4799999999959255,101717.SN1998es.ascii,FLWO-1.5m / FAST
8,0.5200000000040745,101718.SN1998es.ascii,FLWO-1.5m / FAST
9,1.5100000000020373,101719.SN1998es.ascii,FLWO-1.5m / FAST
10,14.49000000000524,101720.SN1998es.ascii,FLWO-1.5m / FAST
11,16.480000000003198,101721.SN1998es.ascii,FLWO-1.5m / FAST
12,17.480000000003198,101722.SN1998es.ascii,FLWO-1.5m / FAST
13,18.480000000003198,101723.SN1998es.ascii,FLWO-1.5m / FAST
